DATA_LIMPA,PREFIXO,KM_LIMPO,VALOR_LIMPO,SERVIÇOS,SISTEMA_FREIO,SISTEMA_PNEU,SISTEMA_MOTOR_OLEO,SISTEMA_ELETRICO,TIPO DE MANUTENÇÃO,EMPRESA,RESULTADO,FONTE_ORIGEM
2025-09-24,ABS-17103,,0.0,TROCA DO AMORTECEDOR DO COMPARTIMENTO DO MANGOTINHO,False,False,False,False,CORRETIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-24,ABS-17103,,0.0,TROCA DAS CONEXÕES DE ADMISSÃO E EXPULSÃO DE ÁGUA,False,False,False,False,CORRETIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-24,MOB-17108,57997.0,669.0,"TROCA DE ÓLEO, FILTRO DE AR E FILTRO DE COMBUSTÍVEL",False,False,True,False,PREVENTIVA,TOTAL MOTOS,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-24,TP-17001,45481.0,200.0,"TROCA DOS 04 PNEUS, ALINHAMENTO E 04 BALANCEAMENTOS, E REVISÃO DE FREIOS (PRÓXIMA INSPEÇÃO DE FREIOS AOS 50.500 KM). OBS.: PNEUS FORNECIDOS PELA MOTOMEC",True,True,False,False,PREVENTIVA,GV PNEUS,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-24,TP-17001,,,"TROCA DOS 04 PNEUS, ALINHAMENTO E 04 BALANCEAMENTOS, E REVISÃO DE FREIOS (PRÓXIMA INSPEÇÃO DE FREIOS AOS 50.500 KM). OBS.: PNEUS FORNECIDOS PELA MOTOMEC",True,True,False,False,,,,veiculos_manutencao_freio
2025-09-24,UR-17102,40093.0,183296.0,"1.        Fornecer e substituir o óleo do motor;
2.        Fornecer e substituir o filtro de óleo do motor;
3.        Fornecer e substituir o filtro de combustível;
4.        Fornecer e substituir o filtro de ar do motor;
5.        Fornecer e substituir o filtro de ar da cabine (ar condicionado).",False,False,True,False,PREVENTIVA,BHB,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-09-23,ABS-17103,151606.0,0.0,TROCA DO QUINTO BICO INJETOR (GARANTIA),False,False,False,False,CORRETIVA,RP TRUCK,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-22,ABS-17101,74552.0,0.0,REPARO NO BANCO DO MOTORISTA,False,False,False,False,CORRETIVA,MALDONADO,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-17,MO-17001,162769.0,11300.0,"1.     Fornecer e Executar troca de reparos de amortecedores;
2.     Fornecer e Executar a troca dos revestimentos em todos os bancos;
3.     Fornecer e Executar troca de piso do salão com madeira e troca do revestimento do patamar com roda pé.",False,False,False,False,CORRETIVA,MALDONADO,CONCLUÍDO, MANUTENÇÃO-2025
2025-09-16,UR-17211,,117263.0,"1.     Fornecer e substituir 2 pivôs da bandeja ambos os lados dianteiro conforme especificação do fabricante;
2.     Fornecer serviço de cambagem conforme especificação do fabricante;
3.     Fornecer serviço de alinhamento e balanceamento conforme especificação do fabricante;",False,True,False,False,CORRETIVA,BHB,FINALIZADO NA NEO, MANUTENÇÃO-2025
